,Date,LocationID,PU_passenger,PUTripDistance_count,PickUp_count,PU_fare,DO_passenger,DOTripDistance_count,DO_fare,DropOff_count
68,2020-08,13,4443.0,13192.48,3104,49952.94,6090.0,20089.43,73096.46,4340
69,2020-08,24,6810.0,12595.89,4964,56863.07,7504.0,14048.67,60916.01,5438
70,2020-08,41,12777.0,22821.22,9428,110211.65,18463.0,37539.58,163607.99,13266
71,2020-08,42,7240.0,17397.91,5786,86132.59,15541.0,181909.9,180918.33000000002,11397
72,2020-08,43,23173.0,34030.79,15782,156700.98,17966.0,24790.74,114715.42,12117
73,2020-08,45,1516.0,4782.28,1097,21636.19,3181.0,8529.02,35363.6,2228
74,2020-08,48,43134.0,72319.08,30201,317479.79,37895.0,52468.1,435814.94999999995,26748
75,2020-08,50,11115.0,24913.44,8241,116174.74,17389.0,32883.38,150058.4,12646
76,2020-08,68,29686.0,69424.72,21649,304050.41,26926.0,40806.71,190111.03,19221
77,2020-08,74,13970.0,28640.97,10326,131544.44,24383.0,51467.42,220654.62,17606
78,2020-08,75,25916.0,49192.72,18898,223861.89,34883.0,84753.35,269537.26,25059
79,2020-08,79,28309.0,51376.61,19967,221334.35,25320.0,46108.3,195614.61,17942
80,2020-08,87,6296.0,19920.07,4491,76384.48,7730.0,25603.85,92803.44,5431
81,2020-08,88,3523.0,13342.33,2519,49545.12,3806.0,15352.25,55726.86,2730
82,2020-08,90,27183.0,43954.05,19191,197244.26,20011.0,30680.03,139294.53,14240
83,2020-08,100,28212.0,50139.47,20284,222129.6,20063.0,26148.74,130879.13,14284
84,2020-08,107,34133.0,103673.37000000001,24365,257467.7,26620.0,42499.57,189613.13,19352
85,2020-08,113,17550.0,28287.98,12380,129836.94,15131.0,24618.920000000002,109338.99,10776
86,2020-08,114,11051.0,19654.54,7570,83962.58,9862.0,16802.89,72549.26,6875
87,2020-08,116,3825.0,9762.3,2845,43864.14,7849.0,24534.010000000002,98014.39,5762
88,2020-08,120,25.0,128.56,20,628.96,118.0,721.5600000000001,2416.83,99
89,2020-08,125,4256.0,8460.31,2979,35560.8,3985.0,9129.53,39856.97,2939
90,2020-08,127,479.0,1991.57,374,9657.37,1737.0,11825.07,38969.63,1327
91,2020-08,128,67.0,404.82,63,2038.96,146.0,800.42,2679.14,98
92,2020-08,137,29724.0,60510.12,21283,259587.76,25598.0,40951.53,185813.68,18653
93,2020-08,140,41919.0,80832.29,30454,365108.41,37475.0,128871.79,289815.66,27095
94,2020-08,141,47086.0,124437.22,33570,321170.61,43165.0,57301.41,274251.83,30792
95,2020-08,142,41786.0,92970.22,30041,487168.05,35658.0,50427.33,234524.26,25659
96,2020-08,143,18637.0,31368.489999999998,13416,144885.33000000002,21252.0,32332.27,149564.23,15199
97,2020-08,144,7383.0,14635.58,5128,63850.909999999996,8405.0,16368.94,72461.27,5906
