Date,LocationID,PU_passenger,PUTripDistance_count,PickUp_count,PU_fare,PUT_fare,DO_passenger,DOTripDistance_count,DropOff_count,DO_fare,DOT_fare
2017-01,237,612667.0,660791.07,31,3464415.34,4377785.87,539610.0,546582.8,335309,3001474.14,3804016.3
2017-01,238,305189.0,400126.25,31,1871238.11,2359680.44,326079.0,452114.62,200226,2025724.84,2589350.67
2017-01,239,415603.0,515711.39,31,3084162.63,3737529.32,391704.0,507052.96,239921,2343167.0300000003,3007750.71
2017-01,243,3199.0,7368.4,31,28735.67,34849.15,29617.0,149339.45,18125,1002837.2800000001,1096293.18
2017-01,244,15615.0,36715.99,31,141116.41,169090.16,56233.0,231656.79,34513,755266.77,903156.37
2017-01,246,224503.0,316407.83,31,1518551.58,1925819.85,292125.0,352685.52,179841,1792749.28,2274557.96
2017-01,249,348207.0,474221.09,31,2249164.48,2850240.63,275657.0,322311.68,168885,1593465.8,2065808.52
2017-01,261,88460.0,206357.63,31,814692.09,991122.35,75483.0,187582.21,45023,703855.38,860399.07
2017-01,262,196154.0,271962.58999999997,31,1238452.98,1553121.52,209835.0,302467.81,127490,1340761.8599999999,1718784.98
2017-01,263,286721.0,376439.22000000003,31,1711508.86,2165792.28,292665.0,412786.4,178152,1798949.2,2316338.22
2017-02,4,43225.0,68039.38,28,309020.72,382142.47000000003,78251.0,109299.56,48344,521866.94,654566.79
2017-02,12,4765.0,11528.26,28,46052.03,54301.37,8843.0,18763.95,5195,77101.3,89984.46
2017-02,13,134347.0,321898.2,28,1260782.28,1570125.52,142025.0,346675.64,86496,1338763.79,1649982.35
2017-02,24,44820.0,67244.03,28,300403.47000000003,372653.42,46843.0,79662.51,28701,328259.16,414458.4
2017-02,41,52750.0,73239.33,28,332424.38,409070.75,94651.0,184168.6,57928,744601.14,922941.14
2017-02,42,23794.0,34909.45,28,155635.19,187483.98,65000.0,171107.95,39735,632789.71,761570.1
2017-02,43,192321.0,234585.97,28,1161750.91,1447006.22,163797.0,199656.51,96194,977050.81,1218481.67
2017-02,45,34853.0,62484.079999999994,28,281825.3,341877.2,41446.0,65746.2,25096,309574.41,374544.52
2017-02,48,463632.0,672398.86,28,3088760.65,3866081.66,401263.0,527229.06,243323,2584357.41,3268441.27
2017-02,50,136002.0,203050.2,28,926259.3200000001,1154918.34,167343.0,209965.11000000002,103096,1053812.77,1331744.88
2017-02,68,354738.0,499038.55,28,2434231.17,3072815.47,337031.0,409047.25,207293,2072620.75,2647884.62
2017-02,74,50736.0,75514.28,28,327766.22,395582.58,109602.0,197269.98,67992,788836.25,964832.02
2017-02,75,92388.0,132379.08,28,595289.57,730611.38,168195.0,247603.93,104093,1073794.32,1338177.9
2017-02,79,482062.0,706570.72,28,3303184.87,4161158.37,397774.0,487402.17,241071,2448082.47,3144772.17
2017-02,87,111451.0,293890.65,28,1123257.58,1396800.11,117980.0,307963.2,73254,1165224.66,1446294.1
2017-02,88,57381.0,163712.67,28,613025.09,755607.75,59842.0,164853.04,36677,603751.58,732089.54
2017-02,90,288037.0,362658.59,28,1839254.86,2342437.36,235375.0,263522.7,145664,1356967.67,1759985.56
2017-02,100,296294.0,424404.84,28,2064466.25,2578758.86,226100.0,272720.58999999997,139812,1480517.65,1861505.11
2017-02,107,358584.0,462160.73,28,2311645.57,2943220.05,317518.0,369531.82,197171,1877524.24,2433059.89
2017-02,113,258434.0,331814.11,28,1695922.12,2148570.25,222615.0,264396.19,137985,1344701.02,1729475.34
2017-02,114,232829.0,334714.89,28,1595308.69,2009707.6400000001,181287.0,211535.5,109816,1112158.11,1415030.67
2017-02,116,18578.0,37049.72,28,151471.87,182683.31,44416.0,135953.47,27137,482377.76,581384.87
2017-02,120,107.0,265.49,21,1499.0,1762.21,554.0,2308.27,328,7551.51,8712.26
2017-02,125,98080.0,150951.2,28,712725.03,903708.68,87015.0,128731.69,53686,610665.85,768446.31
