Date,LocationID,PU_passenger,PUTripDistance_count,PickUp_count,PU_fare,PUT_fare,DO_passenger,DOTripDistance_count,DropOff_count,DO_fare,DOT_fare
2020-07,239,32713.0,49946.53,31,227660.34,354856.33,28143.0,40743.61,20460,186878.52,300203.99
2020-07,243,673.0,2418.14,31,13649.630000000001,15600.35,3762.0,20492.93,2811,70245.29,86895.0
2020-07,244,2947.0,10270.29,31,45551.82,54160.87,7897.0,38264.49,5981,135879.09,166851.8
2020-07,246,6020.0,13793.25,31,61579.22,85513.74,11278.0,19996.54,8281,93047.15,137552.75
2020-07,249,15692.0,28081.65,31,121134.62,184618.18,13304.0,22552.96,9625,97517.56,152531.15
2020-07,261,2714.0,8563.47,31,33780.69,44895.64,2599.0,8348.29,1885,31228.89,43044.24
2020-07,262,16875.0,28805.04,31,126380.98,192763.0,18235.0,29036.77,13121,129131.29000000001,202915.22
2020-07,263,35176.0,57607.04,31,256330.75,390108.96,28710.0,44224.01,20947,196040.6,309576.14
2020-08,4,1359.0,3443.91,31,17941.49,23400.34,7445.0,15356.62,5276,65234.93,93012.01000000001
2020-08,12,310.0,1070.07,30,3927.52,5108.4,476.0,1438.39,319,5272.6900000000005,7163.57
2020-08,13,4443.0,13192.48,31,49952.94,69860.78,6090.0,20089.43,4340,73096.46,101695.14
2020-08,24,6810.0,12595.89,31,56863.07,77225.47,7504.0,14048.67,5438,60916.01,86525.2
2020-08,41,12777.0,22821.22,31,110211.65,138225.38,18463.0,37539.58,13266,163607.99,215647.36
2020-08,42,7240.0,17397.91,31,86132.59,102023.01,15541.0,181909.9,11397,180918.33000000002,224608.26
2020-08,43,23173.0,34030.79,31,156700.98,238705.04,17966.0,24790.74,12117,114715.42,177557.25
2020-08,45,1516.0,4782.28,31,21636.19,26892.06,3181.0,8529.02,2228,35363.6,46730.15
2020-08,48,43134.0,72319.08,31,317479.79,474990.33,37895.0,52468.1,26748,435814.94999999995,575929.96
2020-08,50,11115.0,24913.44,31,116174.74,158639.81,17389.0,32883.38,12646,150058.4,217200.23
2020-08,68,29686.0,69424.72,31,304050.41,420919.44,26926.0,40806.71,19221,190111.03,292032.83
